Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
David de Gea,es ESP,GK,32-008,20,1800,90,95.2,20.0,20,90,20,0,,1,2.05,30,23,+7,+0.35,,31.9,21.2,+10.7,+0.54,,Matches,7ba6d84e
Bruno Fernandes,pt POR,MFFW,28-068,20,1724,86,91.2,19.2,19,88,17,1,45,0,2.20,31,21,+10,+0.52,+1.06,29.5,19.6,+9.9,+0.54,+0.07,Matches,507c7bdf
Diogo Dalot,pt POR,DF,23-242,20,1700,85,89.9,18.9,20,85,16,0,,0,2.05,30,23,+7,+0.37,-0.58,27.3,18.7,+8.6,+0.48,-0.53,Matches,d9565625
Lisandro Martínez,ar ARG,DF,24-301,21,1657,79,87.7,18.4,19,85,15,2,25,0,2.10,29,23,+6,+0.33,-0.45,29.5,20.6,+8.9,+0.49,-0.64,Matches,bac46a10
Christian Eriksen,dk DEN,MF,30-274,20,1490,75,78.8,16.6,17,84,9,3,18,0,2.15,30,21,+9,+0.54,+0.32,25.0,16.6,+8.5,+0.52,-0.08,Matches,980522ec
Marcus Rashford,eng ENG,FW,25-015,19,1420,75,75.1,15.8,15,85,9,4,36,0,2.16,26,20,+6,+0.38,0.00,24.7,15.9,+8.8,+0.59,+0.20,Matches,a1d5bd30
Casemiro,br BRA,MF,30-265,18,1168,65,61.8,13.0,12,86,8,6,23,0,2.28,16,10,+6,+0.46,+0.21,19.8,11.2,+8.6,+0.67,+0.36,Matches,4d224fe8
Cristiano Ronaldo,pt POR,FW,37-283,16,1055,66,58.6,11.7,10,87,8,6,31,2,2.13,16,11,+5,+0.43,+0.18,19.1,9.6,+9.5,+0.81,+0.66,Matches,dea698d9
Tyrell Malacia,nl NED,DF,23-090,15,1023,68,54.1,11.4,12,79,8,3,24,6,2.00,18,11,+7,+0.62,+0.41,18.3,10.7,+7.6,+0.73,+0.40,Matches,6b6c793c
Luke Shaw,eng ENG,DF,27-126,15,999,67,52.9,11.1,10,83,7,5,34,4,1.93,20,15,+5,+0.45,+0.23,17.4,11.9,+5.5,+0.50,-0.09,Matches,9c94165b
