Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
David de Gea,es ESP,GK,31-360,17,1530,90,100.0,17.0,17,90,17,0,,0,2.06,26,19,+7,+0.41,,28.1,18.0,+10.1,+0.59,,Matches,7ba6d84e
Bruno Fernandes,pt POR,MF,28-055,17,1454,86,95.0,16.2,16,88,14,1,45,0,2.06,24,18,+6,+0.37,-0.81,26.1,17.2,+8.9,+0.55,-0.86,Matches,507c7bdf
Diogo Dalot,pt POR,DF,23-229,17,1430,84,93.5,15.9,17,84,13,0,,0,2.06,24,18,+6,+0.38,-0.52,26.1,16.9,+9.1,+0.57,-0.26,Matches,d9565625
Lisandro Martínez,ar ARG,DF,24-288,17,1383,81,90.4,15.4,16,84,12,1,45,0,2.06,24,19,+5,+0.33,-0.90,25.7,17.5,+8.2,+0.54,-0.57,Matches,bac46a10
Christian Eriksen,dk DEN,MF,30-261,16,1199,75,78.4,13.3,14,84,7,2,13,0,2.13,23,17,+6,+0.45,+0.18,21.2,13.6,+7.6,+0.57,-0.11,Matches,980522ec
Marcus Rashford,eng ENG,FWMF,25-002,15,1126,75,73.6,12.5,12,85,7,3,36,0,2.14,20,14,+6,+0.48,+0.26,21.6,13.2,+8.4,+0.67,+0.30,Matches,a1d5bd30
Jadon Sancho,eng ENG,MFFW,22-222,14,900,64,58.8,10.0,12,71,2,2,26,3,1.86,13,13,0,0.00,-1.00,13.7,11.9,+1.8,+0.18,-1.00,Matches,dbf053da
Casemiro,br BRA,MF,30-252,14,889,64,58.1,9.9,9,84,5,5,26,0,2.28,11,6,+5,+0.51,+0.23,16.0,8.0,+8.0,+0.81,+0.53,Matches,4d224fe8
Cristiano Ronaldo,pt POR,FW,37-270,14,875,63,57.2,9.7,8,86,6,6,31,2,2.21,14,8,+6,+0.62,+0.48,17.8,7.8,+10.0,+1.02,+1.01,Matches,dea698d9
Antony,br BRA,MF,22-251,11,827,75,54.1,9.2,11,75,3,0,,0,2.09,14,10,+4,+0.44,+0.05,15.1,9.5,+5.6,+0.61,+0.04,Matches,99127249
Tyrell Malacia,nl NED,DF,23-077,12,817,68,53.4,9.1,10,77,6,2,23,5,2.00,12,8,+4,+0.44,+0.06,15.5,9.6,+5.9,+0.65,+0.13,Matches,6b6c793c
Raphaël Varane,fr FRA,DF,29-191,11,774,70,50.6,8.6,9,81,7,2,23,3,2.09,11,5,+6,+0.70,+0.58,11.3,9.0,+2.3,+0.27,-0.66,Matches,9f8e9423
Luke Shaw,eng ENG,DF,27-113,12,755,63,49.3,8.4,7,83,5,5,34,3,1.92,16,11,+5,+0.60,+0.36,13.8,8.5,+5.2,+0.63,+0.07,Matches,9c94165b
Scott McTominay,sct SCO,MF,25-329,15,697,46,45.6,7.7,7,77,4,8,20,1,2.27,16,10,+6,+0.77,+0.67,12.5,11.4,+1.1,+0.14,-0.82,Matches,d93c2511
Fred,br BRA,MF,29-242,14,574,41,37.5,6.4,6,73,3,8,17,3,1.86,7,11,-4,-0.63,-1.66,11.9,8.7,+3.2,+0.50,-0.14,Matches,b853e0ad
Victor Lindelöf,se SWE,DF,28-108,7,532,76,34.8,5.9,5,90,5,2,41,5,1.86,13,8,+5,+0.85,+0.67,14.0,5.4,+8.5,+1.45,+1.31,Matches,f5deef4c
Harry Maguire,eng ENG,DF,29-242,7,417,60,27.3,4.6,4,90,4,3,19,3,1.71,4,7,-3,-0.65,-1.46,5.8,5.2,+0.6,+0.13,-0.64,Matches,d8931174
Anthony Elanga,se SWE,MF,20-189,10,369,37,24.1,4.1,5,62,0,5,11,7,1.90,5,2,+3,+0.73,+0.42,5.0,4.4,+0.6,+0.14,-0.59,Matches,2fba6108
Anthony Martial,fr FRA,FW,26-332,4,135,34,8.8,1.5,1,28,0,3,36,0,2.25,6,5,+1,+0.67,+0.28,4.7,2.3,+2.3,+1.58,+1.08,Matches,8b788c01
Alejandro Garnacho,es ESP,MF,18-124,4,100,25,6.5,1.1,1,78,0,3,7,10,1.50,2,0,+2,+1.80,+1.49,1.7,0.0,+1.7,+1.53,+1.00,Matches,7aa8adfe
Donny van de Beek,nl NED,MF,25-198,4,34,9,2.2,0.4,0,,0,4,9,3,1.50,1,0,+1,+2.65,+2.29,1.2,0.0,+1.2,+3.21,+2.68,Matches,50dc94ce
Charlie McNeill,eng ENG,DF,19-054,1,8,8,1.8,0.1,0,,0,1,8,1,0.00,0,0,0,0.00,-1.22,0.1,0.0,+0.1,+1.58,-0.31,Matches,f9de9c23
Aaron Wan-Bissaka,eng ENG,DF,24-341,1,5,5,0.3,0.1,0,,0,1,5,4,3.00,0,0,0,0.00,-0.08,0.0,0.0,0.0,+0.22,+0.17,Matches,9e525177
James Garner,eng ENG,MF,21-234,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,4e015693
Tom Heaton,eng ENG,GK,36-201,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches,a6de6361
